Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Maranhão;Mato Grosso do Sul;Pará;Acre;Amapá;Mato Grosso;Paraíba;Roraima;Alagoas;Piauí;Rondônia;Sergipe;Tocantins;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
44;8;41;0;3;5;46;2;44;0;31;29;2;0;4;NA;0;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;2;46;123;72;7
45;1;NA;0;3;3;15;2;20;1;29;34;3;1;1;NA;0;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;47;NA;30;9
46;1;NA;1;4;3;20;3;28;1;45;35;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;0;NA;3;55;NA;46;8
47;3;NA;0;3;2;39;1;20;0;NA;58;0;0;5;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;4;60;NA;46;4
48;9;NA;1;4;5;29;7;87;2;NA;30;8;2;3;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;3;91;NA;130;11
49;5;NA;0;3;1;40;3;83;NA;NA;27;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;2;89;NA;128;6
50;6;NA;1;1;NA;40;5;75;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;1;81;NA;117;10
51;3;NA;0;9;NA;45;1;75;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;4;77;NA;121;4
52;3;NA;1;9;NA;30;NA;63;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;3;121;NA;116;NA
53;10;NA;0;2;NA;32;NA;24;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;0;111;NA;41;NA
54;10;NA;2;NA;NA;61;NA;22;NA;NA;NA;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;118;NA;47;NA
55;8;NA;NA;NA;NA;56;NA;56;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107;NA;99;NA
56;NA;NA;NA;NA;NA;60;NA;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73;NA
57;NA;NA;NA;NA;NA;NA;NA;211;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;263;NA
58;NA;NA;NA;NA;NA;NA;NA;167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;210;NA
59;NA;NA;NA;NA;NA;NA;NA;155;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;209;NA
60;NA;NA;NA;NA;NA;NA;NA;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;NA
61;NA;NA;NA;NA;NA;NA;NA;125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;164;NA
62;NA;NA;NA;NA;NA;NA;NA;224;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;301;NA
63;NA;NA;NA;NA;NA;NA;NA;198;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;275;NA
64;NA;NA;NA;NA;NA;NA;NA;128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;197;NA
