Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Maranhão;Mato Grosso do Sul;Pará;Acre;Amapá;Mato Grosso;Paraíba;Roraima;Alagoas;Piauí;Rondônia;Sergipe;Tocantins;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
71;8314;NA;NA;NA;NA;19987;NA;39928;NA;NA;NA;6595;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;78069;;60692;
72;NA;NA;NA;NA;NA;21601;NA;41830;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;64756;
73;NA;NA;NA;NA;NA;NA;NA;44411;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;68875;
74;NA;NA;NA;NA;NA;NA;NA;45444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;70342;
75;NA;NA;NA;NA;NA;NA;NA;46131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;72209;
76;NA;NA;NA;NA;NA;NA;NA;47719;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;74727;
77;NA;NA;NA;NA;NA;NA;NA;51097;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;78959;
78;NA;NA;NA;NA;NA;NA;NA;54286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;83516;
79;NA;NA;NA;NA;NA;NA;NA;58378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;88759;
80;NA;NA;NA;NA;NA;NA;NA;61183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;93853;
