state,known,cases,deaths,quantile25,quantile75,average,quantile25_rep,quantile75_rep,average_rep
Paraíba,28.919030902448295,111.0,13,0.2820343295749471,0.6451246189261846,0.4495309695491703,4.254801186112752,2.1701233512531455,2.8919030902448295
Pernambuco,231.85235990496835,1154.0,102,0.3786363443515568,0.5065018858128629,0.43993513821385194,3.1692678685008175,2.7640568361422795,2.954981057612342
Piauí,20.233824433233316,50.0,8,0.20893311539645962,0.6277974794865461,0.3953775533833482,5.7434648295122965,2.2300185103403276,3.287996470400414
Maranhão,110.8848004280084,445.0,27,0.171630544590667,0.3358303171663962,0.24349595161628723,6.991762467816897,4.168771931648839,5.33889779838559
Pará,78.35088659826911,270.0,15,0.11678664846473852,0.29403796008618843,0.19144646156858386,10.275147166007738,4.761290003473129,6.79041017184999
Amazonas,397.58277256948435,1275.0,71,0.14326944451555648,0.2201693081545507,0.1785791661473248,8.375826430105977,6.358742786334468,7.279684568173658
Sergipe,24.474129146155953,44.0,4,0.05900834386497552,0.3724305783178924,0.16343788888718286,20.336107089293545,3.7590898317833985,7.9540919725006844
Rio de Janeiro,1160.982277943588,3231.0,188,0.14085174508924458,0.1835398204837142,0.1619318430363972,8.519596255194937,7.627772525386251,8.02806894322694
Rondônia,12.519343473426687,42.0,2,0.03046016565913718,0.4571066643228604,0.15975278609818164,39.39571483059332,3.062742482816137,8.137573257727347
Goiás,95.22253331505063,233.0,15,0.09414937542716414,0.24639206625843726,0.15752573973611286,12.74570324609688,5.682001134450324,8.252619553971053
São Paulo,3870.994498613893,8895.0,608,0.145837400700233,0.1689667551830687,0.15706558100707962,8.228341935869972,8.285653580097199,8.276797447694179
Brasil,9323.121076482232,23430.0,1328,0.13546007763848272,0.1497259879087659,0.1424415696316449,8.858698599026146,9.350414176950206,9.126549246556403
Alagoas,22.92044235574848,50.0,3,0.03822351100612542,0.33824767903503333,0.13088752622820107,31.39429027876839,4.138978880783385,9.932191687491008
Ceará,713.629746962277,1800.0,91,0.10464932827874143,0.1541346317850916,0.12751710587648799,11.466867678344851,9.08296846585397,10.194710670889672
Rio Grande do Norte,152.22368889204705,339.0,17,0.06781761743299196,0.173520160560359,0.11167775609521553,17.694517227557792,8.068226743675758,11.640635032921246
Amapá,45.705513824736734,242.0,5,0.04481514690185667,0.24181100637780745,0.10939599145899767,26.776661083538354,5.789645479629776,11.883433594431551
Roraima,30.109602179761342,83.0,3,0.02781554973985448,0.26323805314161053,0.09963598927974208,43.14133681422893,5.318380011140947,13.047494277896583
Espírito Santo,141.82207816579663,430.0,14,0.05932662211543533,0.1621295989157053,0.09871523659125447,20.22700698625802,8.635067312587939,13.169192972538259
Paraná,324.4719868422411,756.0,31,0.06746012078331788,0.13238553983358517,0.09553983473794384,17.788287154931187,10.575173102439024,13.60688977080366
Santa Catarina,302.66700290113084,777.0,24,0.052334233145621314,0.11549976542436094,0.07929506609559231,22.929542058273213,12.121236738933803,16.394462657144587
Mato Grosso,50.57541923681198,134.0,4,0.027787668392930558,0.18797863425939587,0.07908980410563848,43.18462359027183,7.4476549184207235,16.437011251963895
Acre,40.03225266836695,90.0,3,0.008956945592978448,0.17101669878070863,0.07493957496852449,133.97424239583492,8.18633507710959,17.34730948962568
Mato Grosso do Sul,54.624958635274034,113.0,4,0.025696702912039012,0.1741064491297341,0.07322660007319443,46.69859803055881,8.041057680504416,17.753111556464063
Bahia,305.619290145546,723.0,22,0.04450242575108399,0.10287708420736161,0.07198498494490603,26.964822248386547,13.608472778817536,18.05932169041863
Minas Gerais,383.67498616547385,815.0,23,0.03997544865436589,0.08844048691827544,0.059946571523639566,30.018424818077502,15.829854049692058,21.68597747891809
Rio Grande do Sul,352.70088856546585,664.0,16,0.025001243673552265,0.06919584816514349,0.0453642180065849,47.99761226556213,20.23242777021457,28.656947195944102
Distrito Federal,357.01255141387037,638.0,15,0.024651353578783803,0.06822749420932853,0.042015329546806604,48.678868532102854,20.519586952800363,30.9410877892021
