Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo;Irlanda;Chile;Paquistão;Polônia;Tailândia;Romênia;Arábia Saudita;Russia;Filipinas;Indonésia;África do Sul;Finlândia;Grécia;India;Islândia
43;;;;;;;3015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;3044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;3072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;;;;;;;3100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;;;;;;;3123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;3139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;3161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;3172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;3180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;3193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;;;3203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;3217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;;;;3230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;3241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;;;3249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;3253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;3259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;3274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;;;;;;;3274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;;;;;;;3281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;;;;;;;3285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;;;;;;;3291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;;;;;;;3296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;3299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;;;;;;;3304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
