Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Maranhão;Mato Grosso do Sul;Pará;Acre;Amapá;Mato Grosso;Paraíba;Roraima;Alagoas;Piauí;Rondônia;Sergipe;Tocantins;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
45;111;273;9;53;16;222;67;203;102;464;391;69;43;7;303;6;403;104;251;7;135;63;33;42;51;57;55;29;788;849;447;159
46;148;430;65;25;30;134;35;336;139;453;460;44;45;25;498;6;262;76;198;21;50;88;81;91;105;110;21;86;780;1178;674;95
47;155;61;17;111;85;407;70;140;519;469;366;101;44;229;361;5;347;84;115;14;142;104;89;74;82;70;36;81;1101;1085;572;112
48;145;2670;26;62;77;246;62;476;90;339;470;50;76;91;520;6;545;126;153;38;132;78;88;102;155;84;48;105;1412;917;757;194
49;173;430;24;67;59;620;58;1672;309;621;682;18;27;120;856;2;507;71;123;40;164;88;53;80;124;129;72;55;1284;1602;2118;282
50;119;834;53;38;40;110;82;525;-48;559;458;214;17;69;834;9;617;163;171;45;374;5;89;102;41;42;71;140;1628;1286;978;678
51;128;1584;80;63;45;546;98;1273;0;867;811;108;25;26;545;5;634;158;120;17;125;33;134;45;39;126;78;134;1238;1700;1843;247
52;145;1068;67;109;22;283;63;1053;173;1134;498;93;11;29;382;23;481;112;58;22;185;83;180;54;94;100;116;118;1896;2113;1399;122
53;186;923;62;69;48;833;90;373;104;856;220;78;61;115;586;15;307;13;239;50;184;89;87;111;64;216;59;146;1238;1902;819;377
54;106;813;81;108;26;560;47;313;294;628;462;233;102;38;689;20;1053;130;95;70;252;89;182;169;152;224;81;168;1779;1830;551;69
55;205;907;110;88;39;365;45;805;165;1198;556;358;3;165;938;16;1002;104;423;58;268;117;146;172;74;150;104;166;2074;2358;1297;266
56;234;813;100;95;29;584;104;529;123;674;943;197;26;82;853;23;1249;46;202;60;316;85;69;121;103;183;97;133;1852;1630;929;234
57;230;744;83;229;55;713;235;826;167;320;763;323;16;98;900;20;1242;45;204;72;378;85;97;180;130;29;150;120;2116;856;1521;568
58;180;1921;119;105;74;380;79;1086;57;1249;883;101;24;9;746;25;1075;82;118;50;324;NA;68;167;44;232;100;139;1536;2849;1325;273
59;239;1413;50;153;50;593;318;2178;100;1648;805;140;7;61;NA;22;680;130;71;36;284;NA;97;35;80;236;103;141;3576;3188;3000;496
60;306;1305;88;165;14;582;46;711;204;1365;493;176;15;44;NA;27;870;237;NA;NA;439;NA;164;;;226;114;209;2043;3343;1169;287
61;261;460;352;173;57;670;49;981;95;1211;541;166;19;334;NA;29;NA;NA;NA;NA;NA;NA;166;;;374;;416;2590;3042;1945;156
62;227;2108;184;180;90;904;34;2345;504;1285;592;270;289;170;NA;62;NA;NA;NA;NA;NA;NA;139;;;267;;265;3926;2993;3046;148
63;290;NA;134;114;67;861;341;2117;230;651;687;404;149;249;NA;43;NA;NA;NA;NA;NA;NA;86;;;208;;215;3567;1811;2824;602
64;356;NA;106;83;76;1585;0;2540;116;585;621;170;68;218;NA;NA;NA;NA;NA;NA;NA;NA;85;;;223;;163;3632;2042;3551;185
65;384;NA;101;115;103;1188;80;1676;98;NA;2279;187;52;133;NA;NA;NA;NA;NA;NA;NA;NA;237;;;;;153;3344;;2694;651
66;250;NA;196;298;44;133;600;800;399;NA;964;220;57;47;NA;NA;NA;NA;NA;NA;NA;NA;181;;;;;281;2608;;1554;906
67;396;NA;213;217;74;877;98;598;NA;NA;642;268;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;211;;;;;327;3008;;1424;317
68;343;NA;224;246;NA;547;40;415;NA;NA;NA;314;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;240;;;;;593;3453;;1366;182
69;408;NA;371;278;NA;242;0;1866;NA;NA;NA;412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;381;;;;;607;4800;;2817;473
70;1173;NA;353;137;NA;739;NA;3800;NA;NA;NA;385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;223;;;;;522;5507;;5023;
71;186;NA;228;84;NA;520;NA;2075;NA;NA;NA;397;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;215;;;;;392;5993;;3371;
72;129;NA;251;NA;NA;1614;NA;1902;NA;NA;NA;149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;387;3468;;4064;
73;138;NA;NA;NA;NA;637;NA;2581;NA;NA;NA;413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;4593;;4119;
74;NA;NA;NA;NA;NA;4427;NA;1033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;1467;
75;NA;NA;NA;NA;NA;NA;NA;687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;1867;
76;NA;NA;NA;NA;NA;NA;NA;1588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;2518;
77;NA;NA;NA;NA;NA;NA;NA;3378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;4232;
78;NA;NA;NA;NA;NA;NA;NA;3189;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;4557;
79;NA;NA;NA;NA;NA;NA;NA;4092;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;5243;
80;NA;NA;NA;NA;NA;NA;NA;2805;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;5094;
81;NA;NA;NA;NA;NA;NA;NA;1162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;2085;
82;NA;NA;NA;NA;NA;NA;NA;721;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;5645;
