Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo;Irlanda;Chile;Paquistão;Polônia;Tailândia;Romênia;Arábia Saudita;Russia;Filipinas;Indonésia;África do Sul;Finlândia;Grécia;India;Islândia
36;3110;5217;91;;;;434;26365;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;
37;2988;4050;146;;;;328;25200;;;;;;;;;;;;;;;;65;;;;;;;;;;;;;;;;;;
38;2875;4053;105;;;;428;30081;;;;;;;;;;;;;;;;114;;;;;;;;;;;;;;;;;;
39;2715;4782;78;;;;576;32133;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;
40;;4668;125;;;;204;;;;;;;;;;;;;;;;;81;;;;;;;;;;;;;;;;;;
41;;4585;101;;;;125;;;;;;;;;;;;;;;;;225;;;;;;;;;;;;;;;;;;
42;;;89;;;;125;;;;;;;;;;;;;;;;;173;;;;;;;;;;;;;;;;;;
43;;;86;;;;151;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
44;;;;;;;153;;;;;;;;;;;;;;;;;87;;;;;;;;;;;;;;;;;;
45;;;;;;;80;;;;;;;;;;;;;;;;;225;;;;;;;;;;;;;;;;;;
46;;;;;;;53;;;;;;;;;;;;;;;;;317;;;;;;;;;;;;;;;;;;
47;;;;;;;37;;;;;;;;;;;;;;;;;122;;;;;;;;;;;;;;;;;;
48;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;;;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;;;;;;;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;;;;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;;;;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;;;;;;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;;;;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
