Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil
D0;61;62;104;84;57;79;104;51;52
D1;95;155;204;120;100;130;199;51;77
D2;139;229;433;165;130;159;371;57;98
D3;245;322;602;222;191;196;645;58;121
D4;388;453;833;259;204;262;1017;60;200
D5;593;655;977;400;288;482;1454;68;234
D6;978;888;1261;500;380;670;1955;74;291
D7;1501;1128;1766;673;656;799;2533;98;428
D8;2336;1694;2337;1073;957;1040;3238;118;621
D9;2922;2036;3150;1695;1134;1176;3996;149;931
D10;3513;2502;3736;2277;1217;1457;4738;217;1173
D11;4747;3089;4335;2277;1792;1908;5453;262;1563
D12;5823;3858;5186;5232;2290;2078;6194;402;
D13;6566;4636;5621;6391;2290;3675;7029;518;
D14;7161;5883;6088;7798;3678;4585;7775;583;
D15;8042;7375;6593;9942;4487;5795;8475;959;
D16;9000;9172;7041;11748;4523;7272;9157;1281;
D17;10075;10149;7314;13910;6668;9257;9714;1663;
D18;11364;12462;7478;17963;7699;12327;10198;2179;
D19;12729;12462;7513;21510;9052;15320;10626;2727;
D20;13938;17660;7755;25496;10947;19848;11020;3499;
D21;14991;21157;7869;28768;12612;22364;11393;4632;
D22;16169;24747;7979;;14459;24873;11689;6421;
D23;17361;27980;8086;;16176;;11952;7786;
D24;18407;31506;8162;;;;12164;13677;
D25;19644;35713;8236;;;;12331;19383;
D26;20610;41035;8320;;;;12445;24207;
D27;21638;47021;8413;;;;12529;33272;
D28;;53578;8565;;;;12588;;
D29;;59138;8652;;;;12635;;
D30;;;8799;;;;12888;;
D31;;;8897;;;;12917;;
D32;;;;;;;12938;;
D33;;;;;;;12954;;
D34;;;;;;;12968;;
D35;;;;;;;12979;;
D36;;;;;;;13004;;
D37;;;;;;;13014;;
D38;;;;;;;13019;;
D39;;;;;;;13025;;
D40;;;;;;;13033;;
D41;;;;;;;13044;;
D42;;;;;;;13054;;
D43;;;;;;;13071;;
D44;;;;;;;13098;;
D45;;;;;;;13104;;
D46;;;;;;;13116;;
D47;;;;;;;13117;;
D48;;;;;;;13127;;
D49;;;;;;;13148;;
D50;;;;;;;13151;;
D51;;;;;;;13159;;
D52;;;;;;;13187;;
D53;;;;;;;13209;;
D54;;;;;;;13235;;
D55;;;;;;;13259;;
D56;;;;;;;13302;;
D57;;;;;;;13356;;
D58;;;;;;;13450;;
D59;;;;;;;13505;;
D60;;;;;;;13597;;
